gene_id	gene_name	SRR8521732	SRR8521733	SRR8521735	SRR8521737	SRR8521738	SRR8521656	SRR8521658	SRR8521673	SRR8521679	SRR8521683	SRR8521692	SRR8521696	SRR8521702	SRR8521723	SRR8521662	SRR8521675	SRR8521677	SRR8521694	SRR8521698	SRR8521700	SRR8521706	SRR8521666	SRR8521668	SRR8521670
ENSG00000000003	TSPAN6	0.32	0.45	0.92	0.25	1.26	0.08	0.46	1.13	0.1	0.05	0.04	0.28	0.11	0.13	0.24	0.68	0.02	0.02	0.12	0.68	0.43	0.79	0.17	0.56
ENSG00000000005	TNMD	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.89	0	0	0
ENSG00000000419	DPM1	112.98	129.97	117.69	94.46	112.45	130.95	89.16	97.72	119.1	68.46	55.38	84.41	55.9	70.06	125.11	128.12	111.51	133.01	118.35	81.62	54.43	53.65	70.63	71.16
ENSG00000000457	SCYL3	0.25	2.7	2.58	2.53	3.73	3.71	2.39	1.89	2.56	2.79	3.06	1.25	3.18	3.5	0.97	2.6	3.26	0.57	1.91	1.33	4.64	8.52	6.8	7.61
ENSG00000000460	FIRRM	0.59	2.75	4.12	4.04	0.84	2.04	2.78	3.66	4.45	4.06	0.3	4.07	6.59	2.36	4.48	0.65	3.51	7.23	1.49	7.07	4.51	2.07	2.75	3.79
ENSG00000000938	FGR	13.68	6.78	7	0.95	0.11	14.86	23.73	4.52	12.68	31.09	10.72	22.07	0.65	22.77	7.34	35.66	13.75	10.17	2.2	7.6	4.03	7.47	6.97	6.52
ENSG00000000971	CFH	1.93	3.66	3.89	10.38	36.06	0.03	3.3	0.85	0.87	11.85	0.07	0.97	0.18	3.19	4.17	1.18	0.09	2.39	20.47	3.26	4.73	5.18	10.42	21.31
ENSG00000001036	FUCA2	6.24	8.4	9.45	4.75	3.09	16.4	8.56	9.11	10.16	7.42	9.83	22	12.71	15.01	6.37	8.59	6.65	8.86	3.76	8.58	6.18	5.62	5.82	8.76
ENSG00000001084	GCLC	17.14	16.56	18.07	11.34	6.26	12.69	5.26	17.31	5.71	23.04	24.21	9.19	10.76	10.04	17.31	11.96	13.44	15.45	11.07	23.85	7.27	22.85	8.19	19.39
ENSG00000001167	NFYA	2.25	6.13	4.03	5.74	4.13	3.48	1.34	3.7	0.79	2.52	0.37	2.63	13.71	6.36	2.28	3.25	1.92	1.15	3.77	2.51	5.44	6.04	6.48	3.54
ENSG00000001460	STPG1	6.4	8.28	8.17	10.38	5.24	4.03	3.62	2.59	2.47	4.99	1.32	5.97	2.26	6.13	9.36	4.83	1.35	0.26	3.91	4.97	4.31	3.5	4.82	3.45
ENSG00000001461	NIPAL3	4.61	4.1	6.47	3.1	5.36	3.65	5.69	6.35	1.47	4.68	0.59	4.05	6.68	11.65	3.64	4.97	6	0.99	5.13	2.51	20.16	19.45	16.23	15.77
ENSG00000001497	LAS1L	13.74	13.21	16.2	14.18	8.86	10.68	6.18	14.54	8.45	11.72	10.8	11.51	16.92	14.37	7.73	10.85	11.56	24.35	11.7	8.2	12.69	10.82	13.48	20.8
ENSG00000001561	ENPP4	2.39	3.07	8.39	6.78	13.87	1.01	2.93	3.04	0.37	6.05	1.63	4.98	3.98	3.5	2.67	1.33	1.52	2.55	8.28	6.78	3.58	4.39	4.55	4.29
ENSG00000001617	SEMA3F	0	0	0	0	0	0.02	0	0.01	0.01	0.07	0.42	0.05	0.17	0.02	0	0	0	0.71	0	0	0	0	0.01	0
ENSG00000001626	CFTR	0	0	0.02	0	0	0	0.17	0	0.11	0.3	0	0	0.04	0.12	0.07	0.01	0.07	2.55	0	0.08	0.09	0.16	0	0.32
ENSG00000001629	ANKIB1	17.24	27.85	26.34	50.02	70.44	9.99	27.11	18.64	25.9	17.88	17.63	22.95	23.52	27.36	9.31	40.91	15.95	26.87	43.29	15.63	61.35	46.95	45.47	27.92
ENSG00000001630	CYP51A1	14.8	22.16	24.9	23.79	30.98	21.57	16.47	8.54	46.32	11.62	14.42	24.64	13.36	27.65	17.84	25.05	14.34	38.8	40.83	26.14	9.77	15.72	16.54	20.63
ENSG00000001631	KRIT1	32.49	18.58	40.05	40.56	50.56	34.25	27.53	24.57	11.03	47.49	17.32	29.75	37.93	45.77	56.05	27.5	48.52	27.67	26.25	27.63	46.79	50.85	41.34	38.68
ENSG00000002016	RAD52	0.84	2.01	2.24	8.84	6.29	9	3.56	4.51	0.29	6.65	1.19	4.29	7.92	9.87	6.7	5.76	4.99	5.14	1.37	2.73	9.8	9.18	8.32	11.67
ENSG00000002079	MYH16	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330	BAD	19.62	7.87	9.97	9.21	9.41	10.16	13.76	10.2	7.63	10.57	7.2	15.24	13.08	14.55	8.87	7.28	5.43	7.38	14.27	13.76	21.46	16.39	8.87	12.57
ENSG00000002549	LAP3	134.91	45.85	67.75	38.9	22.36	67.05	87.19	29.71	37.54	45.33	74.72	35.07	22.94	45.63	38.8	51.77	49.23	46.46	28.84	29.83	29.01	28.35	30.97	36.82
ENSG00000002586	CD99	31.5	47.7	64.17	50.01	24.13	247.12	50.12	33.11	136.5	78.41	77.25	59.25	61.87	97.48	25.87	48.82	33.09	26.19	75.27	34.85	31.31	33.63	36.37	48.41
ENSG00000002587	HS3ST1	0.01	0.07	0.07	0.36	0.07	0.01	0.04	0	0.08	0.01	0.02	0.01	0.03	0.46	0.01	0.01	0.02	0.01	0.02	0.13	0.09	0.09	1.13	0.03
ENSG00000002726	AOC1	0.03	0.05	0.03	0.14	0.06	0.02	0.39	0.09	0.08	0.05	0	0.45	0.4	1.66	0.04	0.43	0	0	0	0.01	0.12	0.16	0.08	0.8
ENSG00000002745	WNT16	0.41	0.13	0.1	0.42	0.03	0.74	1.34	1.39	0.09	0.28	0	1.41	0	0.56	0	0.1	0	0	2.09	6.53	0.13	0.15	0.17	0.16
ENSG00000002746	HECW1	0.29	0.03	0.09	0.54	0.2	0.04	0.12	0	0	0.01	0.05	0.03	0.45	0.23	0.41	0.14	0.01	0.13	0.11	0.23	0.55	0.32	0.31	0.66
ENSG00000002822	MAD1L1	23.6	21.01	28.98	22.35	12.89	8.66	25.66	18.6	4.89	19.7	32.26	24.17	26.09	27.46	41.47	50.65	17.06	61.47	17.53	14.89	81.85	80.14	54.65	26.61
ENSG00000002834	LASP1	5.8	15.23	13.03	5.1	4.24	25.66	14.58	11.93	16.1	15.08	20.63	15.95	6.59	11.87	3.74	11.49	10.74	13.52	10	12.35	12.72	8.97	8.08	9.47
ENSG00000002919	SNX11	0.48	0.98	1.89	0.85	3.15	1.31	3.47	3.92	2.13	7.86	3.5	2.56	2.55	4.55	2.9	6.85	3.72	2.11	4.34	1.7	11.51	12.04	9.01	5.79
ENSG00000002933	TMEM176A	0.52	0	2.27	0	0	1.53	23.75	2.24	2.1	5.21	18.78	6.78	0.21	1.99	0.51	0	13.52	0.37	0	0.99	1.05	0.76	0.36	0.46
ENSG00000003056	M6PR	39.2	56.14	70.61	44.04	36.62	69.22	57.84	52.03	64.84	48.71	39.81	54.52	63.51	92.96	32.11	96.81	42.28	61.85	23.22	44.79	71.2	66.51	57.59	65.1
ENSG00000003096	KLHL13	0.02	1.55	1.33	4.78	3.52	3.26	1.2	0.58	1.11	0.22	0.58	0.86	3.27	2.42	0.47	0.44	0.51	0.02	0.68	1.56	0.5	0	0.14	5.21
ENSG00000003137	CYP26B1	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0
ENSG00000003147	ICA1	13.46	33.98	25.05	26.41	37.44	19.04	0.63	11.69	0.06	8.36	8.21	24.64	13.08	13.67	25.35	23.69	16.6	20.81	9.32	24.22	12.74	4.06	5.2	9.12
ENSG00000003249	DBNDD1	0.04	0	0.01	0.08	0.02	0	0.04	0.01	0	0.03	0.03	0.11	0.2	0.03	0	0.08	0.08	0	0	0	0.57	0.44	0.08	0.11
ENSG00000003393	ALS2	2.61	3.69	4.07	12.38	9.62	11.28	6.11	4.75	2.38	9.71	5.16	3.33	30.1	5.93	7.17	8.43	5.16	5.37	5.57	3.69	7.95	5.3	8.47	12.79
ENSG00000003400	CASP10	12.43	17.14	14.92	37.71	28.69	22.32	30.5	14.62	18.87	29.09	6.61	38.37	12.75	21.06	11.87	32.01	47.47	6.09	24.08	41.51	32.98	30.4	25.41	25.71
ENSG00000003402	CFLAR	57.35	41.23	53.86	30.38	29.68	48.77	62.41	37.9	96.67	50.88	59.1	129.35	39.71	49.86	45.51	49.15	64.23	72.93	150.06	124.11	89.94	120.07	104.26	98.95
ENSG00000003436	TFPI	15.09	9.1	14.51	58.05	94.73	75.47	2.2	12.22	37.75	21.71	5.25	2.81	47.07	20.26	9.04	8.64	10.38	21.57	11.94	8.95	3.89	7.21	10.02	44.15
ENSG00000003509	NDUFAF7	9.26	7.48	14.93	17.13	12.57	12.92	29.79	15.19	5.4	8.8	16.81	8.36	10.54	11.16	10.37	31.11	19.76	6.28	12.32	6.39	17.65	10.08	9.48	17.64
ENSG00000003756	RBM5	84.69	77.14	62.3	134.41	106.27	101.8	81.92	99.34	93.03	135.11	132.65	66.51	96.81	110.85	74.69	144.93	106.45	145.34	97.59	44.34	114.18	74.71	110.46	70.11
ENSG00000003987	MTMR7	2.01	0.89	0.88	2.43	1.85	2.05	1.23	4.34	1.98	2.62	2.72	1.48	0.98	1.84	3.45	0.4	0.59	1.65	0.57	0.42	1.28	1.08	2.79	3.74
ENSG00000003989	SLC7A2	0	0	0	0.06	0	0	0	0	0	0	0	0.01	0.67	0.28	0	0	0.1	0	0	0.25	0.01	0.01	0.07	0.12
ENSG00000004059	ARF5	6.96	14.91	12.75	11.68	9.6	12.66	16.1	9.05	9.91	14.23	24.65	12.24	23.98	57.64	7.23	13.21	15.96	3.74	14.89	15.34	32.99	26.12	25.6	16.58
ENSG00000004139	SARM1	0	0.08	0.58	0.45	0.63	0.37	1.78	0.08	0.14	0.29	3.71	0.43	1.32	0.32	0.02	0.78	0.03	0.41	0.34	0.22	0.92	1.82	0.89	0.82
